,test,first_order_es,first_order_p,second_order_es,second_order_p
0,WEAT1,1.0215181754014724,0.0,1.3910288065555425,0.0
1,WEAT2,1.369898330331199,0.0,1.3112474269101217,0.0
2,WEAT3,0.9479531427757777,0.001,0.9882937600474815,0.0
3,WEAT4,0.6487679444694638,0.043,0.6524467327080941,0.035
4,WEAT5,0.56127470009817,0.075,-0.061837463611433025,0.562
5,WEAT6,1.673594869732518,0.0,1.3974602020030507,0.002
6,WEAT7,1.2009499204698364,0.008,0.44663356831244994,0.191
7,WEAT8,1.3307874881205948,0.001,0.24697879755564692,0.306
8,WEAT9,0.3408686672696562,0.268,1.7080890716967823,0.0
9,WEAT10,0.8756521207380707,0.047,0.5576499102438806,0.146
